SA2_NAME_2016,population,volunteer_perc,actual,predicted,misclassified
Tully,10662,17.38,1,1,
Yarrabah,2560,6.71,0,0,
Daintree,6350,16.62,1,1,
Port Douglas,5257,14.85,0,0,
Atherton,10713,18.52,1,1,
Herberton,5639,18.26,1,1,
Kuranda,4495,18.04,1,1,
Malanda - Yungaburra,8481,22.32,1,1,
Mareeba,11078,16.48,1,1,
Balonne,4378,24.09,1,1,
Chinchilla,8132,18.63,1,1,
Goondiwindi,6356,20.76,1,1,
Inglewood - Waggamba,4246,21.36,1,1,
Miles - Wandoan,4063,22.12,1,1,
Roma,6853,18.7,1,1,
Roma Region,5815,26.01,1,1,
Tara,4222,17.33,1,1,
Crows Nest - Rosalie,8559,20.55,1,1,
Jondaryan,7511,16.06,1,1,
Millmerran,3309,18.28,1,1,
Pittsworth,5718,20.56,1,1,
Wambo,17023,19.37,1,1,
Clifton - Greenmount,4894,21.31,1,1,
Southern Downs - East,4228,21.92,1,1,
Southern Downs - West,4655,21.93,1,1,
Stanthorpe,5409,20.35,1,1,
Stanthorpe Region,5781,20.48,1,1,
Warwick,15133,18.68,1,1,
Central Highlands - East,7289,15.77,1,1,
Central Highlands - West,8139,22.14,1,1,
Emerald,13529,17.67,1,0,underestimated
Berserker,6878,12.02,0,0,
Bouldercombe,1865,18.17,1,1,
Emu Park,5462,14.99,0,0,
Frenchville - Mount Archer,9075,17.6,1,1,
Glenlee - Rockyview,4980,16.58,1,1,
Gracemere,11668,11.67,0,0,
Lakes Creek,4876,12.26,0,0,
Mount Morgan,2941,13.26,0,0,
Norman Gardens,10124,15.95,1,0,underestimated
Park Avenue,5089,12.85,0,0,
Parkhurst - Kawana,6899,13.9,0,0,
Rockhampton - West,5932,15.91,1,1,
Rockhampton City,3261,12.08,0,0,
Rockhampton Region - East,3455,17.25,1,1,
Rockhampton Region - North,4243,19.6,1,1,
Rockhampton Region - West,2917,18.16,1,1,
The Range - Allenstown,8193,18.95,1,1,
Yeppoon,18111,16.46,1,1,
Banana,8555,24.52,1,1,
Biloela,5764,18.3,1,1,
Agnes Water - Miriam Vale,6024,18.32,1,1,
Boyne Island - Tannum Sands,9898,18.02,1,1,
Clinton - New Auckland,13462,13.51,0,0,
Gladstone,6017,14.02,0,0,
Gladstone Hinterland,11745,16.15,1,0,underestimated
Kin Kora - Sun Valley,3616,15.84,1,1,
Telina - Toolooa,6143,15.0,0,0,
West Gladstone,4708,15.88,1,1,
Broadbeach Waters,7775,12.09,0,0,
Burleigh Heads,8769,13.78,0,0,
Burleigh Waters,14159,12.82,0,0,
Mermaid Beach - Broadbeach,11916,12.21,0,0,
Mermaid Waters,12168,12.36,0,0,
Miami,6846,12.56,0,0,
Coolangatta,5950,12.43,0,0,
Currumbin - Tugun,11313,14.12,0,0,
Currumbin Waters,9122,13.71,0,0,
Elanora,12150,13.69,0,0,
Palm Beach,14654,13.75,0,0,
Arundel,10244,13.46,0,0,
Biggera Waters,8535,10.24,0,0,
Coombabah,10388,10.09,0,0,
Labrador,18261,10.98,0,0,
Paradise Point - Hollywell,9396,12.13,0,0,
Runaway Bay,9069,12.06,0,0,
Guanaba - Springbrook,4238,16.96,1,1,
Tamborine - Canungra,14272,18.63,1,1,
Currumbin Valley - Tallebudgera,7150,15.86,1,1,
Mudgeeraba - Bonogin,18261,14.38,0,0,
Reedy Creek - Andrews,7976,13.7,0,0,
Carrara,12191,13.11,0,0,
Highland Park,8365,12.12,0,0,
Nerang - Mount Nathan,20532,11.87,0,0,
Pacific Pines - Gaven,18317,10.74,0,0,
Worongary - Tallai,7881,15.02,0,0,
Coomera,13305,10.05,0,0,
Helensvale,16861,11.47,0,0,
Hope Island,11230,10.86,0,0,
Jacobs Well - Alberton,3640,12.39,0,1,overestimated
Ormeau - Yatala,19677,11.48,0,0,
Oxenford - Maudsland,15790,10.94,0,0,
Pimpama,9166,8.16,0,0,
Upper Coomera - Willow Vale,31216,10.39,0,0,
Clear Island Waters,4118,14.27,0,0,
Merrimac,7070,10.56,0,0,
Robina,23109,13.95,0,0,
Varsity Lakes,15182,12.44,0,0,
Ashmore,11910,12.7,0,0,
Molendinar,6378,12.15,0,0,
Parkwood,8706,13.08,0,0,
Southport - North,14692,11.93,0,0,
Southport - South,17210,12.41,0,0,
Benowa,8739,13.27,0,0,
Bundall,4522,13.73,0,0,
Main Beach,3883,14.42,0,0,
Surfers Paradise,23686,9.76,0,0,
Darra - Sumner,4933,11.85,0,0,
Durack,7952,12.41,0,0,
Forest Lake - Doolandella,27708,13.08,0,0,
Inala - Richlands,18007,9.37,0,0,
Oxley (Qld),7819,17.02,1,1,
Wacol,5813,4.48,0,0,
Boonah,11884,20.19,1,1,
Esk,5158,19.89,1,1,
Lockyer Valley - East,19816,13.44,0,0,
Lowood,14047,13.49,0,0,
Rosewood,11807,14.88,0,0,
Brassall,10902,13.27,0,0,
Bundamba,8921,12.52,0,0,
Churchill - Yamanto,6766,12.23,0,0,
Ipswich - Central,6558,16.63,1,1,
Ipswich - East,17893,13.56,0,0,
Ipswich - North,4642,18.78,1,0,underestimated
Karalee - Barellan Point,5507,14.61,0,0,
Karana Downs,6092,17.46,1,1,
Leichhardt - One Mile,7659,9.9,0,0,
North Ipswich - Tivoli,6397,11.94,0,0,
Raceview,15174,13.2,0,0,
Ripley,4619,15.26,0,0,
Riverview,3071,9.96,0,0,
Bellbird Park - Brookwater,13761,12.24,0,0,
Camira - Gailes,9238,12.29,0,0,
Collingwood Park - Redbank,8519,11.5,0,0,
Goodna,10883,10.78,0,0,
Redbank Plains,19304,9.75,0,0,
Springfield,6777,10.77,0,0,
Springfield Lakes,15428,11.22,0,0,
Beaudesert,13917,15.54,0,0,
Beenleigh,8253,10.72,0,0,
Eagleby,13327,10.85,0,0,
Edens Landing - Holmview,7452,10.76,0,0,
Mount Warren Park,5789,11.03,0,0,
Wolffdene - Bahrs Scrub,6105,12.92,0,0,
Boronia Heights - Park Ridge,12239,10.03,0,0,
Browns Plains,7374,9.3,0,0,
Chambers Flat - Logan Reserve,5060,11.62,0,0,
Crestmead,11989,8.4,0,0,
Hillcrest,8153,11.5,0,0,
Marsden,14448,8.96,0,0,
Munruben - Park Ridge South,4613,11.7,0,0,
Regents Park - Heritage Park,15938,9.95,0,0,
Greenbank,12845,11.01,0,0,
Jimboomba,25744,11.06,0,0,
Logan Village,7000,12.2,0,0,
Bethania - Waterford,10869,10.34,0,0,
Cornubia - Carbrook,8452,14.69,0,0,
Loganholme - Tanah Merah,11129,11.83,0,0,
Loganlea,10434,10.63,0,0,
Shailer Park,11645,14.83,0,0,
Waterford West,7243,10.17,0,0,
