SA2_NAME_2016,predicted
Logan Village,0
Bethania - Waterford,0
Cornubia - Carbrook,0
Loganholme - Tanah Merah,0
Loganlea,0
Shailer Park,0
Waterford West,0
Daisy Hill,0
Kingston (Qld.),0
Logan Central,0
Rochedale South - Priestdale,1
Slacks Creek,0
Springwood,0
Underwood,0
Woodridge,0
Bowen,1
Broadsound - Nebo,1
Clermont,1
Collinsville,1
Moranbah,0
Andergrove - Beaconsfield,0
East Mackay,1
Eimeo - Rural View,0
Mackay,0
Mackay Harbour,1
Mount Pleasant - Glenella,1
North Mackay,0
Ooralea - Bakers Creek,0
Pioneer Valley,0
Sarina,0
Seaforth - Calen,1
Shoal Point - Bucasia,0
Slade Point,0
South Mackay,0
Walkerston - Eton,1
West Mackay,1
Airlie - Whitsundays,0
Proserpine,1
Beachmere - Sandstone Point,0
Bribie Island,0
Burpengary - East,0
Caboolture,0
Caboolture - South,0
Elimbah,0
Morayfield - East,0
Wamuran,0
Kilcoy,1
Woodford - D'Aguilar,1
Burpengary,0
Deception Bay,0
Morayfield,0
Narangba,0
Upper Caboolture,0
Clontarf,0
Margate - Woody Point,0
Redcliffe,0
Rothwell - Kippa-Ring,0
Scarborough - Newport - Moreton Island,1
Albany Creek,1
Cashmere,0
Dayboro,1
Eatons Hill,1
The Hills District,1
Samford Valley,1
Dakabin - Kallangur,0
Murrumba Downs - Griffin,0
North Lakes - Mango Hill,0
Bray Park,0
Lawnton,0
Petrie,1
Strathpine - Brendale,0
Aurukun,0
Cape York,0
Croydon - Etheridge,1
Kowanyama - Pormpuraaw,0
Northern Peninsula,0
Tablelands,0
Torres,0
Torres Strait Islands,0
Weipa,1
Carpentaria,0
Mount Isa,0
Mount Isa Region,1
Northern Highlands,1
Barcaldine - Blackall,1
Charleville,1
Far Central West,1
Far South West,1
Longreach,1
Buderim - North,1
Buderim - South,1
Mountain Creek,0
Sippy Downs,0
Aroona - Currimundi,1
Buddina - Minyama,1
Caloundra - Kings Beach,1
Caloundra - West,0
Golden Beach - Pelican Waters,1
Moffat Beach - Battery Hill,1
Parrearra - Warana,0
Wurtulla - Birtinya,0
Coolum Beach,1
Marcoola - Mudjimba,1
Maroochydore - Kuluin,0
Mooloolaba - Alexandra Headland,1
Noosa Heads,1
Noosaville,1
Sunshine Beach,1
Tewantin,1
Peregian Beach - Marcus Beach,1
Peregian Springs,0
Beerwah,0
Caloundra Hinterland,1
Glass House Mountains,1
Landsborough,0
Maroochy Hinterland,1
Palmwoods,1
Bli Bli,0
Diddillibah - Rosemount,1
Eumundi - Yandina,1
Nambour,1
Noosa Hinterland,1
Cambooya - Wyreema,0
Darling Heights,0
Drayton - Harristown,0
Gatton,1
Gowrie (Qld),0
Highfields,1
Lockyer Valley - West,1
Middle Ridge,1
Newtown (Qld),0
North Toowoomba - Harlaxton,0
Rangeville,1
Toowoomba - Central,0
Toowoomba - East,1
Toowoomba - West,0
Wilsonton,0
Ayr,1
Burdekin,1
Charters Towers,0
Dalrymple,1
Ingham,1
Ingham Region,1
Palm Island,0
Aitkenvale,0
Annandale,1
Belgian Gardens - Pallarenda,1
Bohle Plains,0
Condon - Rasmussen,0
Cranbrook,1
Deeragun,0
Douglas,1
Garbutt - West End,0
Gulliver - Currajong - Vincent,0
Heatley,0
Hermit Park - Rosslea,1
Hyde Park - Pimlico,0
Kelso,0
Kirwan - East,0
Kirwan - West,0
Magnetic Island,1
Mount Louisa,0
Mundingburra,1
Northern Beaches,0
Oonoonba,0
South Townsville - Railway Estate,1
Townsville - South,1
Townsville City - North Ward,1
Wulguru - Roseneath,0
Ashfield - Kepnock,0
Bargara - Burnett Heads,1
Branyan - Kensington,0
Bundaberg,0
Bundaberg East - Kalkie,0
Bundaberg North - Gooburrum,0
Bundaberg Region - North,1
Bundaberg Region - South,0
Millbank - Avoca,0
Svensson Heights - Norville,0
Walkervale - Avenell Heights,0
Gayndah - Mundubbera,1
Gin Gin,1
Kingaroy,0
Kingaroy Region - North,1
Kingaroy Region - South,1
Monto - Eidsvold,1
Nanango,1
Cooloola,0
Gympie - North,0
Gympie - South,1
Gympie Region,1
Kilkivan,1
Booral - River Heads,1
Craignish - Dundowran Beach,1
Pialba - Eli Waters,0
Point Vernon,0
Torquay - Scarness - Kawungan,0
Urangan - Wondunna,1
Burrum - Fraser,1
Granville,0
Maryborough (Qld),1
Maryborough Region - South,1
Tinana,1
